IREF_EXT [A],"V(IREF_EXT) (nom, temp=27C) [V]","V(IREF_EXT) (tttt, temp=27) [V]","V(IREF_EXT) (rcff, temp=-40) [V]","V(IREF_EXT) (rcff, temp=85) [V]","V(IREF_EXT) (rcss, temp=-40) [V]","V(IREF_EXT) (rcss, temp=85) [V]","V(IREF_EXT) (rxfs, temp=-40) [V]","V(IREF_EXT) (rxfs, temp=85) [V]","V(IREF_EXT) (rxsf, temp=-40) [V]","V(IREF_EXT) (rxsf, temp=85) [V]"
1.1e-06,1.126559615319501,1.126559615319501,1.130004525247349,1.213310034924739,1.036141787196427,1.118777638314841,1.036141744052921,1.118777599733364,1.130004588198328,1.213310089163824
1.2e-06,1.123272342,1.123272342,1.127282328803394,1.209743273681321,1.033196531022911,1.114962126258038,1.033196487879467,1.114962087676459,1.127282391754371,1.209743327920435
1.3e-06,1.120185605,1.120185605,1.124721823400919,1.206401762919904,1.030422931,1.111382136861832,1.030422888092313,1.111382098280179,1.124721886351897,1.206401817159038
1.400000000000001e-06,1.117271718928566,1.117271718928566,1.122301001627386,1.203253859393946,1.027727084,1.108004940222064,1.027727040573878,1.108004901640355,1.122301064578363,1.203253913633096
1.500000000000001e-06,1.114436546160939,1.114436546160939,1.119943880561664,1.200193966924209,1.025244222629381,1.104720031201929,1.025244179492144,1.104719992610533,1.119943943512579,1.200194021166018
1.600000000000001e-06,1.111818024,1.111818024,1.117762298761369,1.197375965125978,1.022870329,1.101688984600065,1.022870285663154,1.101688946,1.117762361712308,1.197376019367317
1.700000000000001e-06,1.109311694036696,1.109311694036696,1.115672047602099,1.194682469356971,1.020597988735847,1.098789113460148,1.020597945597676,1.098789074871034,1.115672110553049,1.194682524
1.800000000000001e-06,1.106910123812983,1.106910123812983,1.113667105957053,1.192105203975959,1.018416706360539,1.096011701639213,1.018416663221976,1.096011663050678,1.113667168907987,1.192105258216973
1.900000000000001e-06,1.104602843074868,1.104602843074868,1.111739077017333,1.189632331473015,1.016317782587387,1.093344420336069,1.016317739448489,1.093344381748052,1.111739139968279,1.189632385713895
2.000000000000001e-06,1.102381108008589,1.102381108008589,1.109880930537706,1.187253999601396,1.014293754962896,1.090776985396757,1.014293711823703,1.090776946809162,1.109880993488657,1.187254053842141
2.100000000000001e-06,1.100237377075379,1.100237377075379,1.108086594251247,1.184961725695361,1.012338177739434,1.088300532611707,1.012338134599968,1.088300494024501,1.108086657202205,1.184961779936013
2.200000000000001e-06,1.098165104473933,1.098165104473933,1.106350790009393,1.182748160272822,1.010445441513962,1.085907373314386,1.010445398374272,1.085907334727526,1.106350852960347,1.182748214513371
2.300000000000001e-06,1.096158569255151,1.096158569255151,1.104668898425413,1.180606890899054,1.008610631832891,1.083590792028367,1.008610588692993,1.083590753441803,1.104668961376366,1.180606945139516
2.400000000000001e-06,1.094212740135015,1.094212740135015,1.103036851634013,1.178532287323298,1.006829417,1.081344886488623,1.006829373582188,1.081344847902341,1.103036914584966,1.178532341563683
2.500000000000001e-06,1.092323167099653,1.092323167099653,1.101451047200019,1.176519377498854,1.005097956,1.079164439436423,1.005097913161312,1.079164400850383,1.101451110150976,1.176519432
2.600000000000001e-06,1.090485893663485,1.090485893663485,1.099908278346621,1.174563747375702,1.003412829447737,1.077044814895612,1.003412786307322,1.077044776309791,1.099908341297575,1.174563801615959
2.7e-06,1.088697385213236,1.088697385213236,1.098405676909248,1.172661459184297,1.001770973769975,1.074981873507931,1.001770930629423,1.074981834922324,1.098405739860205,1.172661513424496
2.8e-06,1.086954470009822,1.086954470009822,1.096940666313934,1.170808984248562,1.000169636,1.072971902858563,1.000169592940496,1.072971864273131,1.096940729264892,1.170809038
2.9e-06,1.085254290244978,1.085254290244978,1.095510922526525,1.169003147,0.998606331,1.071011559703641,0.998606288,1.071011521118382,1.095510985477481,1.169003201565267
3e-06,1.083594261154579,1.083594261154579,1.094114341395982,1.167241080167108,0.9970788076122206,1.069097821730716,0.9970787644713156,1.069097783145604,1.094114404346943,1.167241134407172
3.1e-06,1.081972036640338,1.081972036640338,1.092749011,1.165520182528461,0.9955850181863436,1.067227947016499,0.9955849750453367,1.067227908431537,1.092749074118784,1.165520236768487
3.2e-06,1.080385480188734,1.080385480188734,1.091413189209525,1.163838089219332,0.994123096,1.065399439747076,0.9941230526775066,1.065399401162245,1.091413252160488,1.163838143459325
3.3e-06,1.078832640131878,1.078832640131878,1.090105282191924,1.162192642112825,0.992691332,1.063610021068885,0.992691289,1.063609982484166,1.090105345142888,1.162192696352783
