# Resistor 1 (temperature control): 5b'10101, resistor 2 (voltage control): 5b'01100

LDO_VIN [V],"BG_REF (rcss, temp=-40) [V]","BG_REF (rcss, temp=85) [V]","BG_REF (rxsf, temp=-40) [V]","BG_REF (rxsf, temp=85) [V]","BG_REF (rxfs, temp=-40) [V]","BG_REF (rxfs, temp=85) [V]","BG_REF (rcff, temp=-40) [V]","BG_REF (rcff, temp=85) [V]","BG_REF (tttt, temp=27) [V]","BG_REF (nom, temp=27) [V]"
0.4160000000000001,4.716615097999707e-05,-2.649769896133587e-06,0.001398889545540987,2.847110845468991e-05,6.408494822503086e-05,-1.689275369651452e-06,0.001800992732741901,2.935095867526024e-05,1.728904710866787e-05,1.728904710866787e-05
0.4480000000000002,0.0001423376317335566,-2.509334404091167e-06,0.003766322920589685,2.937094100104682e-05,0.0001905621302719063,-1.574216163008075e-06,0.004836571322542594,3.02297530683868e-05,3.83026390115378e-05,3.83026390115378e-05
0.4800000000000002,0.0004136858033062077,-2.347441801011679e-06,0.01000239697464362,3.040438590601539e-05,0.000552265638623726,-1.446236136733735e-06,0.01272052390997519,3.123757811465424e-05,8.030815132417764e-05,8.030815132417764e-05
0.5120000000000002,0.001187606294812165,-2.154389651798815e-06,0.02545286228655229,3.162707764178639e-05,0.001586611371938215,-1.299193036343648e-06,0.0315313099943009,3.24275819773453e-05,0.0001643749902239436,0.0001643749902239436
0.5440000000000003,0.003387758795654186,-1.915336629395357e-06,0.05923938718869679,3.310174325400894e-05,0.004531478872186422,-1.123423532209426e-06,0.06966316319176349,3.385983498481981e-05,0.0003324007277915843,0.0003324007277915843
0.5760000000000003,0.009567544633035451,-1.607629280943017e-06,0.1195053173945879,3.489264670094312e-05,0.01253806136872986,-9.038899648731675e-07,0.1328341584187969,3.559528946807171e-05,0.0006667862792239599,0.0006667862792239599
0.6080000000000003,0.02583433898273548,-1.197288574208716e-06,0.2068274009871555,3.705721626834435e-05,0.033121979587108,-6.180092221854434e-07,0.2210633281330914,3.768725620068378e-05,0.001326492552988995,0.001326492552988995
0.6400000000000003,0.06312436283333658,-6.352721086603238e-07,0.320353988337785,3.962718806461362e-05,0.0782492439608944,-2.339820524185346e-07,0.3308086367484621,4.016194790531306e-05,0.002611785645598295,0.002611785645598295
0.6720000000000004,0.1349737063343195,1.466227127334903e-07,0.462803207355198,4.253186872243873e-05,0.1614559951341095,2.894816883935547e-07,0.4560839259724586,4.294108819353849e-05,0.005083953529137182,0.005083953529137182
0.7040000000000004,0.2537861711379091,1.240234982697212e-06,0.6122581158924392,4.545456963008481e-05,0.2936012387062973,1.001440727710434e-06,0.5911824301418368,4.569864764287193e-05,0.009796125470669775,0.009796125470669775
0.7360000000000004,0.4284297060180798,2.774516200411535e-06,0.6823731904903191,4.813982838010463e-05,0.4403464287765761,1.955659060340804e-06,0.6718827336580857,4.816978718388752e-05,0.01858761046404939,0.01858761046404939
0.7680000000000005,0.6389089993553639,4.921549129952948e-06,0.7286116896797038,5.068360490295419e-05,0.493082154487884,3.207285711628197e-06,0.7228679942352098,5.043600018596017e-05,0.03322294972225599,0.03322294972225599
0.8000000000000005,0.7346833659866487,7.941167535642208e-06,0.7682704189592248,5.32326331580238e-05,0.5495657783651703,4.810002008171208e-06,0.7649185844179891,5.262360598127746e-05,0.0525877461316446,0.0525877461316446
0.8320000000000005,0.7845678241370482,1.233995102367904e-05,0.8043987015585804,5.591327654933266e-05,0.6357844033813502,6.813314773120184e-06,0.8008704145283221,5.48323533904088e-05,0.07649906229025193,0.07649906229025193
