Iload [A],"LDO_VDD (rcss, temp=-40) [V]","LDO_VDD (rcss, temp=85) [V]","LDO_VDD (rxsf, temp=-40) [V]","LDO_VDD (rxsf, temp=85) [V]","LDO_VDD (rxfs, temp=-40) [V]","LDO_VDD (rxfs, temp=85) [V]","LDO_VDD (rcff, temp=-40) [V]","LDO_VDD (rcff, temp=85) [V]","LDO_VDD (tttt, temp=27) [V]","LDO_VDD (nom, temp=27) [V]"
0.0045,1.006858865855832,1.006520250853819,0.9999600541435217,0.9980582132035803,0.9978799769699406,0.9971854879917277,0.9924113221929021,0.9903201783845789,1.001765582007825,1.001765582007825
0.0048,1.006735951962936,1.006344901056395,0.9996120644938062,0.9976094921406292,0.9974526474761791,0.9966677984533304,0.9918132316479217,0.9896012519166668,1.001452657733767,1.001452657733767
0.0051,1.006614942847162,1.006168409679743,0.9992714581563894,0.9971649345281572,0.997032927,0.9961498252310756,0.9912281999325034,0.9888901811434855,1.001143735,1.001143735
0.0054,1.006495388528465,1.005989606815024,0.998937071,0.9967223221165253,0.9966193310733291,0.9956286073321573,0.9906542794726287,0.9881836498968258,1.000837477758322,1.000837477758322
0.0057,1.006376867779952,1.005807255033416,0.9986078475547073,0.9962794604721114,0.9962104921517299,0.9951011063958084,0.9900897205989818,0.9874784210973773,1.000532595763688,1.000532595763688
0.006,1.006258977395533,1.005620013333435,0.9982828165040926,0.9958341267311538,0.9958051261812176,0.994564131,0.9895329233011602,0.9867712614052757,1.000227816354135,1.000227816354135
0.0063,1.006141323070971,1.005426397085519,0.9979610628210379,0.9953840221970573,0.9954020029728081,0.9940142615607669,0.9889823984072899,0.9860588749871744,0.9999218550213205,0.9999218550213205
0.0066,1.006023511361637,1.005224730786252,0.9976417102507784,0.994926728,0.9949999218846891,0.9934477612795845,0.9884367355061011,0.9853378432238064,0.9996133902372902,0.9996133902372902
0.0069,1.005905142297562,1.005013089326992,0.9973239038693008,0.9944596602854163,0.9945976904027044,0.9928604814405712,0.987894576,0.9846045681534922,0.9993010391182487,0.9993010391182487
0.0072,1.005785802355842,1.004789221439715,0.9970067949625899,0.9939800288146752,0.9941941048085858,0.9922477362506918,0.9873545882997117,0.9838552178470183,0.9989833333451694,0.9989833333451694
0.0075,1.005665057506999,1.004550445,0.9966895271692247,0.993484789,0.993787932,0.9916041414776595,0.9868154490422345,0.9830856724445796,0.9986586945786291,0.9986586945786291
0.0078,1.005542446121614,1.004283410440332,0.9963712234132769,0.9929705960214978,0.9933778932681188,0.9909233897503731,0.9862758214139433,0.9822914696050984,0.9983254086237574,0.9983254086237574
0.0081,1.005417471505473,1.004001879576237,0.9960509732892205,0.9924337501657845,0.9929626454247344,0.9901979221932498,0.9857343381764059,0.9814677480460349,0.9979815975684848,0.9979815975684848
0.0084,1.005289593844256,1.003692208325321,0.9957278205356587,0.9918701398717054,0.9925407657469052,0.9894184249569649,0.9851895840399347,0.9806091874249329,0.9976251889964727,0.9976251889964727
0.0087,1.005158221,1.003347160064753,0.9954007503966666,0.9912751721206183,0.9921107334953242,0.9885360259698818,0.9846400786662549,0.9797099419780078,0.9972538811031983,0.9972538811031983
0.009,1.0050227,1.002956647699453,0.9950686766369823,0.9906240794216937,0.991670912,0.9875992702368418,0.9840842598069643,0.9787635638890704,0.9968651020578818,0.9968651020578818
0.0093,1.004882302484028,1.002505873501536,0.994730428,0.9899470895434536,0.9912195278789426,0.9865543379120754,0.9835204663645555,0.9777629101309109,0.9964559612125322,0.9964559612125322
0.0096,1.004736214202958,1.001971759902484,0.9943847341896085,0.9892206658040534,0.9907546520854779,0.9853650304711171,0.9829469212308917,0.9766667991495041,0.9960231884716739,0.9960231884716739
0.0099,1.004583517,1.001315625061072,0.99403021,0.9884370799644617,0.9902741739383256,0.9839724961915475,0.9823617137846447,0.975527904,0.9955630560946286,0.9955630560946286
0.0102,1.004423171672169,1.000467118,0.9936653419596725,0.9875873192364393,0.9897757755671424,0.982274484,0.981762782,0.9743070047955229,0.9950541798713827,0.9950541798713827
0.0105,1.004253989111287,0.9992873850082816,0.9932884663643745,0.9866606966399508,0.9892569006718515,0.9800855488080836,0.9811478940434409,0.9729922121487045,0.9945229660850885,0.9945229660850885
0.0108,1.004074603494058,0.9974887876322359,0.9928977554879636,0.9856442561033422,0.9887147174606418,0.977078686,0.9805146296254338,0.9715694526196474,0.9939486322160199,0.9939486322160199
0.0111,1.003883429074888,0.9945227897517538,0.9924911953720902,0.9845218046615839,0.9881460728187245,0.972778941,0.9798603607086338,0.9700215155356497,0.9933238150069056,0.9933238150069056
0.0114,1.003678605186298,0.9897022750923028,0.9920665647067806,0.983272215,0.9875474333294979,0.9667824781003616,0.9791822320506988,0.9683263712495749,0.9926392819181401,0.9926392819181401
0.0117,1.003457918848566,0.9828123797482518,0.9916214112638201,0.9818661909950783,0.9869148060574591,0.9590955871036241,0.9784771413589346,0.9664540131801551,0.9918829796757869,0.9918829796757869
0.012,1.003208502,0.9743042342584987,0.9911530258753315,0.9802595771637871,0.9862436272572966,0.9501157026528023,0.9777417191585764,0.964360175,0.9910383006752499,0.9910383006752499
0.0123,1.002945503468261,0.9647789139156352,0.9906584132732599,0.9783784107974435,0.9855285987060349,0.9402958068690634,0.9769723082563895,0.9619732927941578,0.9900806735621004,0.9900806735621004
0.0126,1.002655886448705,0.9546489209698958,0.9901342587796347,0.9760841540854251,0.9847634355017614,0.9299474122865771,0.9761649425310549,0.9591675558924367,0.9889702850002555,0.9889702850002555
0.0129,1.002333829850009,0.9441488599936401,0.9895768894274836,0.9731001028653098,0.9839089097927333,0.9192556138403347,0.975315325,0.9557152093812226,0.9876352669501696,0.9876352669501696
0.0132,1.001971215567958,0.9334104687608205,0.9889822275142204,0.9689376511196809,0.9830125340100815,0.9083311303935103,0.9744188010184871,0.9512515729471973,0.9859310422500801,0.9859310422500801
0.0135,1.001556001530246,0.9225105725760325,0.9883457338086485,0.9631146033518647,0.9820331554580994,0.8972434624625417,0.9734703349604384,0.9454044914418794,0.9835515133878397,0.9835515133878397
0.0138,1.001068860259344,0.9114963271988026,0.9876373121621805,0.955664521,0.9809500536366773,0.8860386453955654,0.9724644720018254,0.9381088588083475,0.9799470174370605,0.9799470174370605
0.0141,1.000475534240723,0.9003981813594736,0.9868982193286078,0.9470721133042871,0.9797296817649045,0.8747486176082743,0.9713952978557118,0.9296661458359164,0.9746189442866823,0.9746189442866823
0.0144,0.9997075877070611,0.8892366444268022,0.9860996642769712,0.9377962065469276,0.9783118078579035,0.8633963342977465,0.9702563812655549,0.9204740204034729,0.9676708851976288,0.9676708851976288
0.0147,0.9986100938863851,0.878025942,0.9852342033818275,0.9281129920889378,0.9765773872797922,0.8519987179936056,0.9690406936190583,0.9108214172691119,0.9596378700378134,0.9596378700378134
0.015,0.9968119530469296,0.8667760767651217,0.9842932159854525,0.9181772678112629,0.9742823098994806,0.8405684670435546,0.9676958407754024,0.9008791098434136,0.950979202,0.950979202
