VREF [V],"IREF (tttt, temp=27) [A]","IREF (rcff, temp=-40) [A]","IREF (rcff, temp=85) [A]","IREF (rcss, temp=-40) [A]","IREF (rcss, temp=85) [A]","IREF (rxfs, temp=-40) [A]","IREF (rxfs, temp=85) [A]","IREF (rxsf, temp=-40) [A]","IREF (rxsf, temp=85) [A]"
0.5400000000000003,1.962516077236567e-06,4.033000983088476e-06,3.994699654036014e-06,1.613770734891393e-06,2.11839023546932e-06,2.749802937358269e-06,3.010567771819374e-06,1.552836525749355e-06,1.974991392061807e-06
0.5700000000000003,1.972997012467383e-06,4.084135997533457e-06,4.031584257851693e-06,1.618994570477714e-06,2.124198424954244e-06,2.789869696157908e-06,3.040756135628122e-06,1.557906827261333e-06,1.980425200131973e-06
0.6000000000000003,1.983307850872686e-06,4.135245212171702e-06,4.068045431487564e-06,1.624079985233682e-06,2.129695918969815e-06,2.830057719733546e-06,3.070723328799509e-06,1.562845607312921e-06,1.9855791716038e-06
0.6300000000000003,1.993478435247378e-06,4.186382603382134e-06,4.104180931413213e-06,1.629047233179979e-06,2.134935187544357e-06,2.870395696248139e-06,3.10053054327394e-06,1.567671990161854e-06,1.990500198745136e-06
0.6600000000000004,2.003532419559131e-06,4.237590849914176e-06,4.14006743584797e-06,1.63391251469098e-06,2.13995738176041e-06,2.910906522941346e-06,3.130225939638045e-06,1.572401288004086e-06,1.995225105433261e-06
0.6900000000000004,2.013488789509845e-06,4.288904146636986e-06,4.175765834751575e-06,1.638688978360012e-06,2.144795165267538e-06,2.951608759189427e-06,3.159847922726691e-06,1.577045931784779e-06,1.999783155370747e-06
0.7200000000000004,2.023362988745882e-06,4.340350140768413e-06,4.211325017016963e-06,1.643387403120375e-06,2.149474792619827e-06,2.992517564421647e-06,3.189427447334161e-06,1.581616142661188e-06,2.004197881733004e-06
0.7500000000000004,2.033167682691508e-06,4.391951512832582e-06,4.246784691324921e-06,1.64801674181054e-06,2.154017601415631e-06,3.033645511691717e-06,3.218989687989584e-06,1.586120400960864e-06,2.008488440752186e-06
0.7800000000000005,2.04291338737921e-06,4.443726950103445e-06,4.282177318820333e-06,1.652584504867225e-06,2.158441071006251e-06,3.075003074399561e-06,3.248555403198985e-06,1.590565847638301e-06,2.012670546080895e-06
0.8100000000000005,2.052608902880772e-06,4.495692034783195e-06,4.31752975801861e-06,1.657097026778917e-06,2.162759707121637e-06,3.116599105907668e-06,3.278141780991142e-06,1.594958479674189e-06,2.016757239731047e-06
0.8400000000000005,2.06226166147321e-06,4.547859833752744e-06,4.352864387463216e-06,1.661559743197547e-06,2.16698562096272e-06,3.158441098889185e-06,3.307763224067308e-06,1.599303476925071e-06,2.020759435639062e-06
0.8700000000000006,2.071877986986872e-06,4.600241410162488e-06,4.388199983245942e-06,1.665977301072605e-06,2.171129005265044e-06,3.200535490861299e-06,3.337431875602839e-06,1.603605262519478e-06,2.024686324675227e-06
