Time [s],Capacitor voltage [V],GPIO [V]
0.0077687685,0.534546,-0.08537
0.0077955685,0.534201,-0.0392
0.0078222685,0.533191,-0.07112
0.0078490685,0.532297,-0.05556
0.0078757685,0.531689,-0.04105
0.0079025685,0.532357,-0.04507
0.0079293685,0.536694,-0.04455
0.0079560685,0.53479,-0.04718
0.0079828685,0.533833,-0.05233
0.0080096685,0.532646,-0.06466
0.0080364685,0.533682,-0.04725
0.0080632685,0.531073,-0.06374
0.0080900685,0.532248,-0.04191
0.0081168685,0.532286,-0.05325
0.0081436685,0.534997,-0.08273
0.0081705685,0.532714,-0.06011
0.0081973685,0.531621,-0.04402
0.0082241685,0.534122,-0.06189
0.0082510685,0.533352,-0.04356
0.0082778685,0.534997,-0.03841
0.0083047685,0.533746,-0.05787
0.0083315685,0.533273,-0.05978
0.0083584685,0.53268,-0.06024
0.0083852685,0.53366,-0.06473
0.0084121685,0.533656,-0.0549
0.0084390685,0.534422,-0.04586
0.0084659685,0.536412,-0.07363
0.0084928685,0.533446,-0.05312
0.0085197685,0.533416,-0.06393
0.0085466685,0.532383,-0.06314
0.0085735685,0.532196,-0.05028
0.0086004685,0.53295,-0.05978
0.0086271685,0.532695,-0.04342
0.0086539685,0.532977,-0.04046
0.0086806685,0.53402,-0.05041
0.0087074685,0.533649,-0.05661
0.0087341685,0.53675,-0.03901
0.0087609685,0.534565,-0.04112
0.0087877685,0.535218,-0.08214
0.0088145685,0.532316,-0.05991
0.0088412685,0.533911,-0.07126
0.0088680685,0.535635,-0.04883
0.0088948685,0.535331,-0.06789
0.0089216685,0.532087,-0.06275
0.0089484685,0.534024,-0.02285
0.0089752685,0.53013,-0.06624
0.0090020685,0.533393,-0.06783
0.0090289685,0.531794,-0.07389
0.0090557685,0.532173,-0.04923
0.0090825685,0.532875,-0.0514
0.0091093685,0.532898,-0.03901
0.0091362685,0.532395,-0.0702
0.0091630685,0.533754,-0.06901
0.0091899685,0.534144,-0.05991
0.0092168685,0.534475,-0.05576
0.0092436685,0.534182,-0.05688
0.0092705685,0.53437,-0.05055
0.0092974685,0.531493,-0.05853
0.0093242685,0.531798,-0.04059
0.0093511685,0.532049,-0.04329
0.0093780685,0.53348,-0.06842
0.0094049685,0.534734,-0.0853
0.0094318685,0.535068,-0.06004
0.0094587685,0.533566,-0.05681
0.0094855685,0.536664,-0.07119
0.0095123685,0.532353,-0.05721
0.0095390685,0.533998,-0.0607
0.0095658685,0.533637,-0.05813
0.0095925685,0.533915,-0.04626
0.0096193685,0.533033,-0.05457
0.0096461685,0.53592,-0.06585
0.0096728685,0.531982,-0.04718
0.0096996685,0.533412,-0.06578
0.0097264685,0.533025,-0.06281
0.0097532685,0.531745,-0.08596
0.0097800685,0.532154,-0.06281
0.0098068685,0.533483,-0.04395
0.0098336685,0.534933,-0.04764
0.0098604685,0.532695,-0.06822
0.0098872685,0.532526,-0.04824
0.0099141685,0.533814,-0.04962
0.0099409685,0.534272,-0.05859
0.0099677685,0.533776,-0.05813
0.0099946685,0.534032,-0.06703
0.0100214685,0.535413,-0.06868
0.0100483685,0.532627,-0.04751
0.0100751685,0.535042,-0.07468
0.0101020685,0.536495,-0.03901
0.0101289685,0.535853,-0.06387
0.0101557685,0.534922,-0.06163
0.0101826685,0.533284,-0.05971
0.0102095685,0.532383,-0.06077
0.0102364685,0.534084,-0.05985
0.0102633685,0.534783,-0.08075
0.0102902685,0.534156,-0.04685
0.0103171685,0.533191,-0.05938
0.0103439685,0.532533,-0.04402
0.0103707685,0.532909,-0.06334
0.0103974685,0.532263,-0.06644
0.0104242685,0.533844,-0.04191
0.0104509685,0.534156,-0.02779
0.0104777685,0.533637,-0.08128
0.0105045685,0.532045,-0.06664
0.0105312685,0.530292,-0.05365
0.0105580685,0.533574,-0.06215
0.0105848685,0.534002,-0.06921
0.0106116685,0.533878,-0.05338
0.0106384685,0.533187,-0.05444
0.0106652685,0.534377,-0.06809
0.0106920685,0.534084,-0.04296
0.0107188685,0.534997,-0.04197
0.0107456685,0.533709,-0.04356
0.0107725685,0.536183,-0.06037
0.0107993685,0.535263,-0.0483
0.0108261685,0.531865,-0.05767
0.0108530685,0.536769,-0.06222
0.0108798685,0.53568,-0.04257
0.0109067685,0.534321,-0.05009
0.0109335685,0.533495,-0.05879
0.0109604685,0.532515,-0.03808
0.0109873685,0.533209,-0.04461
0.0110141685,0.534482,-0.03347
0.0110410685,0.536506,-0.0491
0.0110679685,0.533465,-0.02549
0.0110948685,0.536799,-0.06374
0.0111217685,0.532901,-0.06176
0.0111486685,0.532995,-0.05602
0.0111755685,0.531415,-0.05173
0.0112023685,0.534257,-0.03887
0.0112291685,0.535642,-0.07159
0.0112558685,0.533082,-0.05483
0.0112826685,0.534846,-0.06651
0.0113093685,0.533915,-0.06519
0.0113361685,0.535398,-0.06499
0.0113629685,0.53357,-0.05384
0.0113896685,0.535845,-0.04646
0.0114164685,0.53461,-0.06802
0.0114432685,0.535541,-0.06756
0.0114700685,0.534846,-0.04567
0.0114968685,0.534963,-0.07251
0.0115236685,0.533881,-0.02331
0.0115504685,0.537963,-0.04145
0.0115772685,0.534174,-0.03881
0.0116040685,0.537227,-0.06954
0.0116309685,0.536435,-0.05266
0.0116577685,0.535924,-0.08484
0.0116845685,0.536821,-0.05068
0.0117114685,0.534313,-0.05272
0.0117382685,0.537704,-0.05134
0.0117651685,0.535376,-0.05272
0.0117919685,0.536446,-0.04032
0.0118188685,0.535669,-0.05305
0.0118457685,0.533363,-0.05444
0.0118725685,0.534493,-0.03307
0.0118994685,0.535567,-0.05655
0.0119263685,0.535928,-0.06888
0.0119532685,0.535488,-0.06446
0.0119801685,0.532327,-0.0551
0.0120070685,0.536814,-0.06598
0.0120339685,0.53464,-0.09849
0.0120607685,0.535057,-0.06736
0.0120874685,0.533686,-0.02568
0.0121142685,0.534869,-0.05549
0.0121409685,0.535935,-0.04039
0.0121677685,0.533269,-0.05655
0.0121945685,0.534925,-0.05437
0.0122212685,0.535905,-0.07976
0.0122480685,0.533435,-0.06149
0.0122748685,0.533536,-0.10278
0.0123016685,0.535541,-0.064
0.0123284685,0.534542,-0.04732
0.0123552685,0.534508,-0.05483
0.0123820685,0.533382,-0.05437
0.0124088685,0.533431,-0.06334
0.0124356685,0.534355,-0.06215
0.0124624685,0.536153,-0.04178
0.0124892685,0.535057,-0.06202
0.0125161685,0.535575,-0.03788
0.0125429685,0.535094,-0.04204
0.0125697685,0.535365,-0.06717
0.0125966685,0.53247,-0.06736
0.0126234685,0.536067,-0.05055
0.0126503685,0.534719,-0.08669
0.0126772685,0.534681,-0.06921
0.0127040685,0.53684,-0.06301
0.0127309685,0.53648,-0.02377
0.0127578685,0.534674,-0.04896
0.0127847685,0.534246,-0.04204
0.0128116685,0.534283,-0.06776
0.0128385685,0.536153,-0.04448
0.0128654685,0.537152,-0.0642
0.0128923685,0.536209,-0.07363
0.0129190685,0.535387,-0.05688
0.0129458685,0.534771,-0.05239
0.0129725685,0.535301,-0.05206
0.0129993685,0.535913,-0.06004
0.0130260685,0.534982,-0.05622
0.0130528685,0.535575,-0.08933
0.0130796685,0.53464,-0.0576
0.0131064685,0.533791,-0.04857
0.0131331685,0.53586,-0.05266
0.0131599685,0.533896,-0.06084
0.0131867685,0.534415,-0.08313
0.0132135685,0.534955,-0.04296
0.0132403685,0.535947,-0.06499
0.0132671685,0.533731,-0.06717
0.0132940685,0.534212,-0.06987
0.0133208685,0.53476,-0.06532
0.0133476685,0.534745,-0.05536
0.0133744685,0.53408,-0.0394
0.0134013685,0.535507,-0.05424
0.0134281685,0.53372,-0.04435
0.0134550685,0.532023,-0.06512
0.0134818685,0.533465,-0.07238
0.0135087685,0.533656,-0.04573
0.0135356685,0.533957,-0.0458
0.0135624685,0.534783,-0.06756
0.0135893685,0.53402,-0.06136
0.0136162685,0.533161,-0.03861
0.0136431685,0.53268,-0.06525
0.0136700685,0.535079,-0.06539
0.0136969685,0.535188,-0.04283
0.0137238685,0.534415,-0.03934
0.0137506685,0.534268,-0.03782
0.0137774685,0.537002,-0.03083
0.0138041685,0.535109,-0.06934
0.0138309685,0.535759,-0.0491
0.0138576685,0.534704,-0.04283
0.0138844685,0.533322,-0.05602
0.0139112685,0.533525,-0.04131
0.0139379685,0.536224,-0.04685
0.0139647685,0.536746,-0.06176
0.0139915685,0.532992,-0.04824
0.0140183685,0.534441,-0.05305
0.0140451685,0.534805,-0.03775
0.0140719685,0.53503,-0.04666
0.0140987685,0.535458,-0.04032
0.0141255685,0.53437,-0.06209
0.0141523685,0.535188,-0.06308
0.0141791685,0.536198,-0.0423
0.0142060685,0.534189,-0.04369
0.0142328685,0.533555,-0.05708
0.0142596685,0.531741,-0.06202
0.0142865685,0.534899,-0.04052
0.0143133685,0.536566,-0.06248
0.0143402685,0.541274,-0.06459
0.0143670685,0.535455,-0.05061
0.0143939685,0.53209,-0.04046
0.0144208685,0.532699,-0.08075
0.0144477685,0.532015,-0.0522
0.0144745685,0.536803,-0.04652
0.0145014685,0.535199,-0.07007
0.0145283685,0.538447,-0.03821
0.0145552685,0.534347,-0.05813
0.0145821685,0.53547,-0.09282
0.0146090685,0.53556,-0.04778
0.0146358685,0.532841,-0.06367
0.0146625685,0.532158,-0.05872
0.0146893685,0.534756,-0.0454
0.0147160685,0.535282,-0.05872
0.0147428685,0.532804,-0.07917
0.0147695685,0.534677,-0.06426
0.0147963685,0.533521,-0.04633
0.0148231685,0.533209,-0.05233
0.0148499685,0.535473,-0.06974
0.0148767685,0.535102,-0.05167
0.0149035685,0.534077,-0.04329
0.0149303685,0.53375,-0.06954
0.0149571685,0.534745,-0.0673
0.0149839685,0.536765,-0.05912
0.0150107685,0.534407,-0.04415
0.0150375685,0.535124,-0.04514
0.0150644685,0.534178,-0.02291
0.0150912685,0.535657,-0.04026
0.0151180685,0.533033,-0.05978
0.0151449685,0.535868,-0.02463
0.0151717685,0.533855,-0.06987
0.0151986685,0.531963,-0.04085
0.0152254685,0.535958,-0.04395
0.0152523685,0.534306,-0.03835
0.0152792685,0.534584,-0.08253
0.0153061685,0.53485,-0.04797
0.0153330685,0.533431,-0.0855
0.0153599685,0.534587,-0.04745
0.0153867685,0.53387,-0.06743
0.0154137685,0.534587,-0.06229
0.0154406685,0.534095,-0.06618
0.0154674685,0.535136,-0.08629
0.0154942685,0.535301,-0.06868
0.0155209685,0.533581,-0.10067
0.0155477685,0.534711,-0.03934
0.0155744685,0.532053,-0.03795
0.0156012685,0.533885,-0.05477
0.0156279685,0.534249,-0.06057
0.0156547685,0.531212,-0.0675
0.0156815685,0.534497,-0.04929
0.0157083685,0.533513,-0.06341
0.0157351685,0.532582,-0.0766
0.0157619685,0.533329,-0.0644
0.0157887685,0.534843,-0.05477
0.0158155685,0.537775,-0.07093
0.0158423685,0.53256,-0.05563
0.0158691685,0.533037,-0.06413
0.0158959685,0.533397,-0.07475
0.0159228685,0.53271,-0.04659
0.0159496685,0.534689,-0.03894
0.0159764685,0.533491,-0.06051
0.0160033685,0.533521,-0.04481
0.0160301685,0.534595,-0.06598
0.0160570685,0.532755,-0.02516
