Time [s],Capacitor voltage [V]
0.3973218266,0.529503
0.3973485266,0.529695
0.3973753266,0.528696
0.3974021266,0.529064
0.3974289266,0.528437
0.3974556266,0.528955
0.3974824266,0.529838
0.3975092266,0.5306
0.3975360266,0.528805
0.3975628266,0.528752
0.3975896266,0.528527
0.3976165266,0.530164
0.3976433266,0.52974
0.3976701266,0.527082
0.3976970266,0.530341
0.3977238266,0.528186
0.3977506266,0.529819
0.3977775266,0.530532
0.3978043266,0.527863
0.3978312266,0.526999
0.3978581266,0.529785
0.3978849266,0.526597
0.3979118266,0.529612
0.3979387266,0.529609
0.3979656266,0.528204
0.3979925266,0.528884
0.3980194266,0.526575
0.3980463266,0.529132
0.3980731266,0.529856
0.3980999266,0.528358
0.3981266266,0.526338
0.3981534266,0.527746
0.3981801266,0.527896
0.3982069266,0.528133
0.3982337266,0.527923
0.3982604266,0.527908
0.3982872266,0.528073
0.3983140266,0.530686
0.3983408266,0.527299
0.3983676266,0.526609
0.3983944266,0.526804
0.3984212266,0.528704
0.3984480266,0.529319
0.3984748266,0.528231
0.3985016266,0.525602
0.3985285266,0.525272
0.3985553266,0.528336
0.3985821266,0.529188
0.3986090266,0.527502
0.3986358266,0.526117
0.3986627266,0.528816
0.3986896266,0.526511
0.3987164266,0.528561
0.3987433266,0.526976
0.3987702266,0.525734
0.3987971266,0.525865
0.3988239266,0.528279
0.3988508266,0.526293
0.3988777266,0.529856
0.3989047266,0.528655
0.3989315266,0.527825
0.3989583266,0.529196
0.3989850266,0.525662
0.3990118266,0.527543
0.3990385266,0.528516
0.3990653266,0.527018
0.3990921266,0.526211
0.3991188266,0.528538
0.3991456266,0.52582
0.3991724266,0.525921
0.3991992266,0.529642
0.3992260266,0.525629
0.3992528266,0.525794
0.3992796266,0.525779
0.3993064266,0.528013
0.3993332266,0.525133
0.3993600266,0.529763
0.3993869266,0.530232
0.3994137266,0.53054
0.3994405266,0.526316
0.3994674266,0.526714
0.3994942266,0.52564
0.3995211266,0.52953
0.3995479266,0.527968
0.3995748266,0.529
0.3996017266,0.528794
0.3996286266,0.529357
0.3996555266,0.529477
0.3996823266,0.52977
0.3997092266,0.529526
0.3997361266,0.526229
0.3997631266,0.530292
0.3997900266,0.528204
0.3998167266,0.52778
0.3998435266,0.529368
0.3998702266,0.529019
0.3998970266,0.526286
0.3999237266,0.526327
0.3999505266,0.53007
0.3999773266,0.528888
0.4000041266,0.526624
0.4000308266,0.529162
0.4000576266,0.526477
0.4000844266,0.52793
0.4001112266,0.530543
0.4001380266,0.529845
0.4001648266,0.530577
0.4001917266,0.529781
0.4002185266,0.528403
0.4002453266,0.527682
0.4002722266,0.525373
0.4002990266,0.529443
0.4003258266,0.528538
0.4003527266,0.527536
0.4003795266,0.529849
0.4004064266,0.527472
0.4004333266,0.528794
0.4004601266,0.524405
0.4004870266,0.52704
0.4005139266,0.529849
0.4005408266,0.527055
0.4005677266,0.53476
0.4005946266,0.526346
0.4006215266,0.529218
0.4006484266,0.529402
0.4006751266,0.530754
0.4007019266,0.526909
0.4007286266,0.52781
0.4007554266,0.529823
0.4007822266,0.52864
0.4008089266,0.529361
0.4008357266,0.529563
0.4008625266,0.529841
0.4008893266,0.530611
0.4009160266,0.527307
0.4009428266,0.529778
0.4009696266,0.529023
0.4009964266,0.526721
0.4010233266,0.527498
0.4010501266,0.528422
0.4010769266,0.529627
0.4011037266,0.525978
0.4011306266,0.530266
0.4011574266,0.527881
0.4011842266,0.525948
0.4012111266,0.529192
0.4012380266,0.528512
0.4012648266,0.526038
0.4012917266,0.526999
0.4013186266,0.527528
0.4013454266,0.529579
0.4013723266,0.527093
0.4013992266,0.526804
0.4014261266,0.528903
0.4014530266,0.526875
0.4014799266,0.530172
0.4015068266,0.52953
0.4015336266,0.527664
0.4015603266,0.525396
0.4015870266,0.523556
0.4016138266,0.527577
0.4016406266,0.529729
0.4016673266,0.527754
0.4016941266,0.529541
0.4017209266,0.526135
0.4017477266,0.529256
0.4017745266,0.527848
0.4018012266,0.529496
0.4018280266,0.529729
0.4018549266,0.530513
0.4018817266,0.529481
0.4019085266,0.527037
0.4019353266,0.527044
0.4019621266,0.526635
0.4019890266,0.527191
0.4020158266,0.527363
0.4020426266,0.527517
0.4020695266,0.526883
0.4020964266,0.530228
0.4021232266,0.528888
0.4021501266,0.529631
0.4021770266,0.52748
0.4022038266,0.527085
0.4022307266,0.529612
0.4022576266,0.530735
0.4022845266,0.528317
0.4023114266,0.529834
0.4023383266,0.529654
0.4023652266,0.529883
0.4023920266,0.526875
0.4024187266,0.530431
0.4024455266,0.528039
0.4024722266,0.525921
0.4024990266,0.527359
0.4025258266,0.52858
0.4025525266,0.527442
0.4025793266,0.529612
0.4026061266,0.527555
0.4026329266,0.52695
0.4026597266,0.528084
0.4026865266,0.527675
0.4027133266,0.527029
0.4027401266,0.527423
0.4027669266,0.52567
0.4027937266,0.526233
0.4028205266,0.525951
0.4028474266,0.52466
0.4028742266,0.529642
0.4029011266,0.529387
0.4029279266,0.528062
0.4029548266,0.529642
0.4029816266,0.529503
0.4030085266,0.527844
0.4030354266,0.525997
0.4030622266,0.527037
0.4030891266,0.529909
0.4031160266,0.528993
