# Schematic simulation only (not extracted)

Analog tuning code,Frequency (schematic) [MHz]
53248,42.25102657206628
53504,42.21750123916528
53760,42.18698334616826
54016,42.15400998311278
54272,42.11226253076123
54528,42.08108096877301
54784,42.0545068505627
55040,42.01610192572509
55296,41.98791807486432
55552,41.95368129726751
55808,41.91386540827449
56064,41.89028173504165
56320,41.85283084357283
56576,41.82295323702578
56832,41.78922216084526
57088,41.75722248817731
57344,41.70894505654369
57600,41.68401624412882
57856,41.65194186579386
58112,41.61697423002391
58368,41.58523479052413
58624,41.55115327344549
58880,41.5163652655111
59136,41.4898014259325
59392,41.44828204636111
59648,41.41740725123845
59904,41.38466910665774
60160,41.36102666425012
60416,41.32273026379786
60672,41.29322618259492
60928,41.25922653626343
61184,41.23315797196104
61440,41.19695539418451
61696,41.16626758185871
61952,41.13487215600662
62208,41.10221993711425
62464,41.06765673781178
62720,41.04247025820988
62976,41.01125535082971
63232,40.98088845944543
63488,40.93813858209401
63744,40.9123735959116
64000,40.88291505324202
64256,40.85100934817626
64512,40.81887914358186
64768,40.78866502447301
65024,40.76047881741522
65280,40.72824783365056
