# 20230825
# M2
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# SCuM estimates the time constant with fixed-point numbers

Resistance [MOhms],Number of ADC samples,Three tau index,Time constant,Time constant scaling factor
# 2.2 MOhms
8.07,484,120,6782,16384
8.07,411,123,6857,16384
8.07,462,121,6787,16384
8.07,424,121,6772,16384
8.07,370,120,6802,16384
8.07,411,129,6851,16384
8.07,332,120,6792,16384
8.07,419,121,6853,16384
8.07,395,124,6862,16384
8.07,413,120,6826,16384
8.07,408,117,6804,16384
8.07,530,119,6762,16384
8.07,424,121,6789,16384
8.07,325,122,6760,16384
8.07,358,119,6778,16384
8.07,475,121,6809,16384
8.07,439,120,6791,16384
8.07,425,121,6840,16384
8.07,331,128,6857,16384
8.07,553,120,6757,16384
8.07,383,121,6839,16384
8.07,559,123,6825,16384
8.07,502,128,6853,16384
8.07,344,119,6751,16384
8.07,340,120,6775,16384
8.07,380,120,6841,16384
8.07,336,131,6863,16384
8.07,449,125,6811,16384
8.07,353,121,6788,16384
8.07,381,122,6864,16384
8.07,578,127,6895,16384
8.07,450,121,6827,16384
8.07,392,120,6772,16384
8.07,513,124,6864,16384

# 10 MOhms
10.0,390,151,8404,16384
10.0,432,152,8442,16384
10.0,461,151,8439,16384
10.0,385,148,8389,16384
10.0,421,146,8445,16384
10.0,404,148,8350,16384
10.0,407,150,8397,16384
10.0,425,154,8552,16384
10.0,420,147,8357,16384
10.0,394,145,8303,16384
10.0,464,148,8439,16384
10.0,523,148,8405,16384
10.0,570,150,8447,16384
10.0,407,148,8386,16384
10.0,392,151,8397,16384
10.0,388,145,8408,16384
10.0,431,147,8383,16384
10.0,381,148,8383,16384
10.0,448,144,8358,16384
10.0,390,146,8331,16384
10.0,404,146,8351,16384
10.0,440,148,8331,16384
10.0,411,145,8378,16384
10.0,494,149,8487,16384
10.0,482,150,8390,16384
10.0,407,146,8359,16384
10.0,467,146,8426,16384
10.0,428,149,8346,16384
10.0,450,151,8387,16384
10.0,465,147,8422,16384
10.0,551,150,8414,16384
10.0,399,147,8330,16384
10.0,565,148,8405,16384
10.0,460,142,8385,16384
10.0,442,148,8399,16384
10.0,387,149,8391,16384
10.0,380,147,8355,16384
10.0,401,147,8349,16384
10.0,478,149,8355,16384
10.0,386,149,8400,16384

# 8 MOhms + 4.7 MOhms
12.7,374,189,10600,16384
12.7,380,187,10430,16384
12.7,359,189,10378,16384
12.7,421,191,10389,16384
12.7,358,184,10382,16384
12.7,436,188,10398,16384
12.7,353,190,10369,16384
12.7,394,186,10341,16384
12.7,386,185,10360,16384
12.7,420,184,10384,16384
12.7,445,190,10368,16384
12.7,430,190,10384,16384
12.7,423,187,10401,16384
12.7,428,187,10325,16384
12.7,395,190,10414,16384
12.7,345,191,10421,16384
12.7,412,183,10358,16384
12.7,400,183,10350,16384
12.7,592,188,10450,16384
12.7,529,188,10387,16384
12.7,457,183,10302,16384
12.7,492,183,10327,16384
12.7,422,188,10378,16384
12.7,424,190,10339,16384
12.7,348,187,10287,16384
12.7,407,184,10265,16384
12.7,447,189,10384,16384
12.7,415,185,10258,16384
12.7,438,188,10349,16384
12.7,373,183,10316,16384
12.7,417,190,10335,16384
12.7,444,179,10273,16384
12.7,438,186,10311,16384
12.7,394,179,10302,16384
12.7,376,183,10260,16384
12.7,438,185,10284,16384
12.7,368,181,10251,16384

# 10 MOhms + 4.7 MOhms
14.7,473,211,11999,16384
14.7,527,209,11848,16384
14.7,395,212,11863,16384
14.7,628,216,11865,16384
14.7,484,209,11858,16384
14.7,560,218,11906,16384
14.7,545,211,11860,16384
14.7,388,215,11879,16384
14.7,562,217,11912,16384
14.7,476,212,11871,16384
14.7,463,217,11951,16384
14.7,500,215,11918,16384
14.7,472,213,11970,16384
14.7,529,215,11992,16384
14.7,389,209,11868,16384
14.7,504,217,11935,16384
14.7,501,209,11816,16384
14.7,383,214,11849,16384
14.7,386,208,11848,16384
14.7,380,211,11885,16384
14.7,567,209,11881,16384
14.7,441,213,11877,16384
14.7,384,202,11811,16384
14.7,372,210,11864,16384
14.7,438,215,11926,16384
14.7,435,218,11988,16384
14.7,389,213,11885,16384
14.7,463,210,11827,16384
14.7,477,211,11897,16384
14.7,512,207,11960,16384
14.7,453,205,11925,16384
14.7,386,215,11927,16384
14.7,391,211,11834,16384
14.7,471,211,11812,16384
14.7,383,208,11865,16384
14.7,382,214,11901,16384
14.7,554,208,11968,16384
14.7,438,215,11968,16384
14.7,398,211,11962,16384
14.7,468,213,11932,16384

# 10 MOhms + 8 MOhms
18.1,567,266,14927,16384
18.1,540,259,14688,16384
18.1,547,261,14661,16384
18.1,582,261,14633,16384
18.1,528,258,14673,16384
18.1,456,258,14665,16384
18.1,623,268,14624,16384
18.1,638,254,14558,16384
18.1,445,249,14548,16384
18.1,646,266,14703,16384
18.1,437,256,14568,16384
18.1,515,261,14664,16384
18.1,557,264,14615,16384
18.1,511,264,14667,16384
